Ngày,Số HĐ,TK Nợ,TK Có,Giá trị,Diễn giải
2023-01-03,15,131,511,1452000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
2023-01-03,15,131,511,5439780.0,Bán ra: BEL - PHÔ MAI
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
2023-01-03,15,131,511,108796.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
2023-01-03,15,131,511,658000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
2023-01-03,15,131,511,1372686.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
2023-01-03,16,131,511,1890000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,7830000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,1166400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,16,131,511,456000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,16,131,3331,0.0,VAT bán ra HĐ 16
2023-01-03,17,131,511,9680000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,1161600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,33,131,511,5670000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,33,131,3331,0.0,VAT bán ra HĐ 33
2023-01-03,17,131,511,3690000.0,Bán ra: NBT - BÁNH NABATI
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,147600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,17,131,3331,0.0,VAT bán ra HĐ 17
2023-01-03,17,131,511,343000.0,Bán ra: VS - XÚC XÍCH VISSAN
